plot	gid	female	male	type	N	rep	row	col	SDM	SRA	NAE
130	213	2	13	sc	low	2	33	2	0.431	0.115	0.292
131	213	2	13	sc	ideal	1	33	3	0.925	0.097	0.088
132	213	2	13	sc	ideal	2	33	4	0.925	0.097	0.088
133	311	3	11	sc	low	1	34	1	0.371	0.122	0.206
134	311	3	11	sc	low	2	34	2	0.356	0.128	0.333
135	311	3	11	sc	ideal	1	34	3	0.854	0.117	0.088
136	311	3	11	sc	ideal	2	34	4	0.6	0.135	0.063
137	312	3	12	sc	low	1	35	1	0.267	0.114	0.187
138	312	3	12	sc	low	2	35	2	0.488	0.123	0.416
139	312	3	12	sc	ideal	1	35	3	0.562	0.146	0.059
140	312	3	12	sc	ideal	2	35	4	0.599	0.141	0.068
141	313	3	13	sc	low	1	36	1	0.236	0.113	0.177
142	313	3	13	sc	low	2	36	2	0.251	0.13	0.155
143	313	3	13	sc	ideal	1	36	3	0.51	0.106	0.055
144	313	3	13	sc	ideal	2	36	4	0.671	0.112	0.075
145	314	3	14	sc	low	1	37	1	0.372	0.126	0.268
146	314	3	14	sc	low	2	37	2	0.321	0.094	0.229
147	314	3	14	sc	ideal	1	37	3	0.737	0.135	0.073
148	314	3	14	sc	ideal	2	37	4	0.587	0.125	0.059
149	411	4	11	sc	low	1	38	1	0.377	0.103	0.277
150	411	4	11	sc	low	2	38	2	0.374	0.118	0.311
151	411	4	11	sc	ideal	1	38	3	0.978	0.099	0.096
152	411	4	11	sc	ideal	2	38	4	1.096	0.129	0.132
153	412	4	12	sc	low	1	39	1	0.658	0.099	0.443
154	412	4	12	sc	low	2	39	2	0.378	0.119	0.298
155	412	4	12	sc	ideal	1	39	3	0.513	0.115	0.045
156	412	4	12	sc	ideal	2	39	4	1.341	0.101	0.12
157	413	4	13	sc	low	1	40	1	0.322	0.123	0.231
158	413	4	13	sc	low	2	40	2	0.413	0.113	0.329
159	413	4	13	sc	ideal	1	40	3	0.623	0.123	0.056
160	413	4	13	sc	ideal	2	40	4	0.68	0.118	0.075
161	414	4	14	sc	low	1	41	1	0.257	0.115	0.193
162	414	4	14	sc	low	2	41	2	0.459	0.108	0.27
163	414	4	14	sc	ideal	1	41	3	0.786	0.123	0.085
164	414	4	14	sc	ideal	2	41	4	0.706	0.113	0.079
165	510	5	10	sc	low	1	42	1	0.407	0.121	0.298
166	510	5	10	sc	low	2	42	2	0.46	0.089	0.364
167	510	5	10	sc	ideal	1	42	3	0.732	0.115	0.081
168	510	5	10	sc	ideal	2	42	4	1.083	0.117	0.132
169	511	5	11	sc	low	1	43	1	0.394	0.108	0.28
170	511	5	11	sc	low	2	43	2	0.564	0.097	0.41
171	511	5	11	sc	ideal	1	43	3	1.004	0.107	0.102
172	511	5	11	sc	ideal	2	43	4	1.343	0.11	0.159
173	512	5	12	sc	low	1	44	1	0.635	0.12	0.45
174	512	5	12	sc	low	2	44	2	0.511	0.117	0.395
175	512	5	12	sc	ideal	1	44	3	1.159	0.144	0.122
176	512	5	12	sc	ideal	2	44	4	1.568	0.171	0.186
177	513	5	13	sc	low	1	45	1	0.508	0.13	0.373
178	513	5	13	sc	low	2	45	2	0.452	0.088	0.368
179	513	5	13	sc	ideal	1	45	3	0.996	0.134	0.09
180	513	5	13	sc	ideal	2	45	4	1.214	0.129	0.132
181	514	5	14	sc	low	1	46	1	0.423	0.141	0.284
182	514	5	14	sc	low	2	46	2	0.483	0.102	0.352
183	514	5	14	sc	ideal	1	46	3	0.906	0.126	0.072
184	514	5	14	sc	ideal	2	46	4	0.566	0.117	0.059
185	610	6	10	sc	low	1	47	1	0.393	0.101	0.345
186	610	6	10	sc	low	2	47	2	0.447	0.118	0.303
187	610	6	10	sc	ideal	1	47	3	1.052	0.131	0.11
188	610	6	10	sc	ideal	2	47	4	0.851	0.122	0.081
189	611	6	11	sc	low	1	48	1	0.459	0.102	0.281
190	611	6	11	sc	low	2	48	2	0.732	0.109	0.451
191	611	6	11	sc	ideal	1	48	3	1.356	0.131	0.149
192	611	6	11	sc	ideal	2	48	4	1.567	0.13	0.169
193	612	6	12	sc	low	1	49	1	0.364	0.122	0.336
194	612	6	12	sc	low	2	49	2	0.622	0.121	0.492
195	612	6	12	sc	ideal	1	49	3	1.105	0.163	0.115
196	612	6	12	sc	ideal	2	49	4	1.339	0.133	0.154
197	613	6	13	sc	low	1	50	1	0.397	0.105	0.289
198	613	6	13	sc	low	2	50	2	0.649	0.104	0.474
199	613	6	13	sc	ideal	1	50	3	1.102	0.17	0.107
200	613	6	13	sc	ideal	2	50	4	0.941	0.112	0.112
201	710	7	10	sc	low	1	51	1	0.425	0.101	0.301
202	710	7	10	sc	low	2	51	2	0.337	0.103	0.235
203	710	7	10	sc	ideal	1	51	3	0.575	0.136	0.068
204	710	7	10	sc	ideal	2	51	4	0.808	0.117	0.089
205	711	7	11	sc	low	1	52	1	0.394	0.104	0.266
206	711	7	11	sc	low	2	52	2	0.558	0.109	0.375
